Province,Location,Year,Quarter,Month,Compacted Waste,Cardboard Recycling,Mixed Recycling,Organics/Compost,Biohazardous Waste
BC,BRL,FY2015,Q1,Dec-2014,,1590,20,,8237.4
BC,BRL,FY2015,Q1,Jan-2015,,1280,,780,7998.6686
BC,BRL,FY2015,Q2,Feb-2015,,3680,,130,8633.0897
BC,BRL,FY2015,Q2,Mar-2015,,1550,50,50,9104.66
BC,BRL,FY2015,Q2,Apr-2015,,1690,20,310,8735.32
BC,BRL,FY2015,Q3,May-2015,,1630,,370,8945.83
BC,BRL,FY2015,Q3,Jun-2015,,1810,70,1310,8147.7
BC,BRL,FY2015,Q3,Jul-2015,,1980,170,600,9806.19
BC,BRL,FY2015,Q4,Aug-2015,,1660,480,730,9079.53
BC,BRL,FY2015,Q4,Sep-2015,,1980,460,1220,9104.75
BC,BRL,FY2015,Q4,Oct-2015,,1200,660,650,9596.37
BC,BRL,FY2016,Q1,Nov-2015,,2320,510,840,8515.69
BC,BRL,FY2016,Q1,Dec-2015,,1970,280,940,6646.21
BC,BRL,FY2016,Q1,Jan-2016,,2230,,670,4814.63
