Province,Location,Year,Quarter,Month,Compacted Waste,Cardboard Recycling,Mixed Recycling,Organics/Compost,Biohazardous Waste
ON,Belleville,FY2006,Q2,Apr-2006,,,,,
ON,Belleville,FY2006,Q3,May-2006,,,,,
ON,Belleville,FY2006,Q3,Jun-2006,,,,,
ON,Belleville,FY2006,Q3,Jul-2006,,,,,
ON,Belleville,FY2006,Q4,Aug-2006,,,,,
ON,Belleville,FY2006,Q4,Sep-2006,,,,,
ON,Belleville,FY2006,Q4,Oct-2006,,,,,
ON,Belleville,FY2007,Q1,Nov-2006,,,,,
ON,Belleville,FY2007,Q1,Dec-2006,,,,,
ON,Belleville,FY2007,Q1,Jan-2007,,,,,
ON,Belleville,FY2007,Q2,Feb-2007,,,,,
ON,Belleville,FY2007,Q2,Mar-2007,,,,,
ON,Belleville,FY2007,Q2,Apr-2007,,,,,
ON,Belleville,FY2007,Q3,May-2007,,,,,
ON,Belleville,FY2007,Q3,Jun-2007,,,,,
ON,Belleville,FY2007,Q3,Jul-2007,,,,,
ON,Belleville,FY2007,Q4,Aug-2007,,,,,
ON,Belleville,FY2007,Q4,Sep-2007,,,,,
ON,Belleville,FY2007,Q4,Oct-2007,,,,,
ON,Belleville,FY2008,Q1,Nov-2007,,,,,
ON,Belleville,FY2008,Q1,Dec-2007,,,,,
ON,Belleville,FY2008,Q1,Jan-2008,1549,,,,
ON,Belleville,FY2008,Q2,Feb-2008,1239,,,,
ON,Belleville,FY2008,Q2,Mar-2008,1239,,,,
ON,Belleville,FY2008,Q2,Apr-2008,1239,,,,
ON,Belleville,FY2008,Q3,May-2008,1549,,,,
ON,Belleville,FY2008,Q3,Jun-2008,1239,,,,
ON,Belleville,FY2008,Q3,Jul-2008,1549,,,,
ON,Belleville,FY2008,Q4,Aug-2008,1239,,,,
ON,Belleville,FY2008,Q4,Sep-2008,1239,,,,
ON,Belleville,FY2008,Q4,Oct-2008,1239,,,,
ON,Belleville,FY2009,Q1,Nov-2008,1239,,,,
ON,Belleville,FY2009,Q1,Dec-2008,1239,,,,
ON,Belleville,FY2009,Q1,Jan-2009,1549,,,,
ON,Belleville,FY2009,Q2,Feb-2009,1239,,,,
ON,Belleville,FY2009,Q2,Mar-2009,1239,,,,
ON,Belleville,FY2009,Q2,Apr-2009,1550,,,,
ON,Belleville,FY2009,Q3,May-2009,1240,,,,
ON,Belleville,FY2009,Q3,Jun-2009,1240,,,,
ON,Belleville,FY2009,Q3,Jul-2009,1550,,,,
ON,Belleville,FY2009,Q4,Aug-2009,1240,,,,
ON,Belleville,FY2009,Q4,Sep-2009,1240,,,,
ON,Belleville,FY2009,Q4,Oct-2009,1550,,,,
ON,Belleville,FY2010,Q1,Nov-2009,1240,,,,
ON,Belleville,FY2010,Q1,Dec-2009,1550,,,,
ON,Belleville,FY2010,Q1,Jan-2010,1240,,,,
ON,Belleville,FY2010,Q2,Feb-2010,1240,,,,2648
ON,Belleville,FY2010,Q2,Mar-2010,1240,,,,2971
ON,Belleville,FY2010,Q2,Apr-2010,1550,,,,2915
ON,Belleville,FY2010,Q3,May-2010,1240,,,,2612
ON,Belleville,FY2010,Q3,Jun-2010,1240,,,,3116
ON,Belleville,FY2010,Q3,Jul-2010,1550,,,,2800
ON,Belleville,FY2010,Q4,Aug-2010,1240,,,,2452
ON,Belleville,FY2010,Q4,Sep-2010,1550,,,,3178
ON,Belleville,FY2010,Q4,Oct-2010,1240,,,,
ON,Belleville,FY2011,Q1,Nov-2010,1240,,,,2873
ON,Belleville,FY2011,Q1,Dec-2010,1550,,,,2771
ON,Belleville,FY2011,Q1,Jan-2011,1240,,,,2475
ON,Belleville,FY2011,Q2,Feb-2011,1240,,,,2584
ON,Belleville,FY2011,Q2,Mar-2011,1240,,,,2927
ON,Belleville,FY2011,Q2,Apr-2011,1550,,,,2918
ON,Belleville,FY2011,Q3,May-2011,1240,,,,3018
ON,Belleville,FY2011,Q3,Jun-2011,1550,,,,3013
ON,Belleville,FY2011,Q3,Jul-2011,1240,,,,3097
ON,Belleville,FY2011,Q4,Aug-2011,1240,,,,3186
ON,Belleville,FY2011,Q4,Sep-2011,1550,,,,3201
ON,Belleville,FY2011,Q4,Oct-2011,1240,,,,
ON,Belleville,FY2012,Q1,Nov-2011,1240,,,,3062
ON,Belleville,FY2012,Q1,Dec-2011,1550,,,,2828
ON,Belleville,FY2012,Q1,Jan-2012,1240,,,,2793
ON,Belleville,FY2012,Q2,Feb-2012,1240,,,,3144
ON,Belleville,FY2012,Q2,Mar-2012,1550,,,,3065.1
ON,Belleville,FY2012,Q2,Apr-2012,1240,,,,3165
ON,Belleville,FY2012,Q3,May-2012,1550,,,,3104
ON,Belleville,FY2012,Q3,Jun-2012,1240,,,,3108
ON,Belleville,FY2012,Q3,Jul-2012,1240,,,,2886
ON,Belleville,FY2012,Q4,Aug-2012,1550,,,,2865
ON,Belleville,FY2012,Q4,Sep-2012,1240,,,,2811
ON,Belleville,FY2012,Q4,Oct-2012,1240,,,,3322
ON,Belleville,FY2013,Q1,Nov-2012,1550,,,,2969
ON,Belleville,FY2013,Q1,Dec-2012,1240,,,,2539
ON,Belleville,FY2013,Q1,Jan-2013,1550,,,,2645
ON,Belleville,FY2013,Q2,Feb-2013,1240,,,,2567
ON,Belleville,FY2013,Q2,Mar-2013,1240,,,,2786
ON,Belleville,FY2013,Q2,Apr-2013,1240,,,,2788
ON,Belleville,FY2013,Q3,May-2013,1550,,,,3073
ON,Belleville,FY2013,Q3,Jun-2013,1240,,,,2730
ON,Belleville,FY2013,Q3,Jul-2013,1240,,,,2874
ON,Belleville,FY2013,Q4,Aug-2013,1550,,,,2593
ON,Belleville,FY2013,Q4,Sep-2013,1240,,,,2724
ON,Belleville,FY2013,Q4,Oct-2013,1550,,,,3143
ON,Belleville,FY2014,Q1,Nov-2013,1240,,,,2889
ON,Belleville,FY2014,Q1,Dec-2013,1240,,,,2335
ON,Belleville,FY2014,Q1,Jan-2014,1550,,,,2715
ON,Belleville,FY2014,Q2,Feb-2014,1240,,,,2535
ON,Belleville,FY2014,Q2,Mar-2014,1240,,,,2514
ON,Belleville,FY2014,Q2,Apr-2014,1240,,,,3076
ON,Belleville,FY2014,Q3,May-2014,1550,,,,2904
ON,Belleville,FY2014,Q3,Jun-2014,1240,,,,2990
ON,Belleville,FY2014,Q3,Jul-2014,1240,,,,2554
ON,Belleville,FY2014,Q4,Aug-2014,1240,,,,2664
ON,Belleville,FY2014,Q4,Sep-2014,1240,,,,2766
ON,Belleville,FY2014,Q4,Oct-2014,1550,,,,3407
ON,Belleville,FY2015,Q1,Nov-2014,1240,,,,2701
ON,Belleville,FY2015,Q1,Dec-2014,1240,,,,2520
ON,Belleville,FY2015,Q1,Jan-2015,1550,,,,2848
ON,Belleville,FY2015,Q2,Feb-2015,1240,,,,2596
ON,Belleville,FY2015,Q2,Mar-2015,1240,,,,2951
ON,Belleville,FY2015,Q2,Apr-2015,1550,,,,3043
ON,Belleville,FY2015,Q3,May-2015,1240,,,,3166
ON,Belleville,FY2015,Q3,Jun-2015,1240,,,,3463
ON,Belleville,FY2015,Q3,Jul-2015,1550,,,,3109
ON,Belleville,FY2015,Q3,Aug-2015,1240,,,,3298
ON,Belleville,FY2015,Q4,Sep-2015,1240,,,,4255
ON,Belleville,FY2015,Q4,Oct-2015,1550,,,,4132
ON,Belleville,FY2016,Q1,Nov-2015,1240,,,,3894.9
ON,Belleville,FY2016,Q1,Dec-2015,1550,,,,3949.5
ON,Belleville,FY2016,Q1,Jan-2016,1240,,,,3568.26
