date_of_service,BRL,Barrie,Belleville,IRL,Kitchener,London,Ottawa,Thorold
2014-09-29,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0
2014-11-03,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
2014-11-12,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0
2014-11-28,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0
2014-12-02,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
2014-12-03,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0
2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0
2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
2014-12-10,670.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0
2014-12-12,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0
2014-12-15,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0
2014-12-16,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0
2014-12-18,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2014-12-19,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
2014-12-22,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0
2014-12-23,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-29,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0
2014-12-31,160.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
2015-01-02,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,180.0,0.0,0.0,65.0,0.0
2015-01-07,280.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,0.0,380.0,0.0,67.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
2015-01-14,315.0,0.0,11.0,340.0,0.0,0.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0
2015-01-19,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0
2015-01-21,317.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0
2015-01-26,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
