date_of_service,IRL
11/28/2014,80
11/28/2014,20
11/28/2014,20
11/28/2014,60
11/28/2014,40
11/28/2014,340
11/12/2014,140
11/12/2014,20
11/12/2014,20
11/12/2014,140
11/12/2014,60
11/12/2014,440
11/12/2014,30
12/29/2014,100
12/29/2014,20
12/29/2014,20
12/29/2014,20
12/29/2014,80
12/29/2014,40
12/29/2014,500
12/12/2014,80
12/12/2014,280
12/12/2014,80
12/2/2014,60
12/3/2014,80
12/3/2014,40
12/3/2014,340
12/3/2014,15
12/17/2014,160
12/17/2014,100
12/17/2014,60
12/17/2014,420
12/10/2014,60
12/10/2014,40
12/10/2014,320
12/10/2014,100
12/19/2014,80
12/19/2014,80
12/19/2014,20
12/19/2014,280
9/29/2014,20
9/29/2014,1
9/29/2014,60
9/29/2014,220
1/5/2015,20
1/5/2015,20
1/5/2015,120
1/5/2015,20
1/2/2015,20
1/2/2015,20
1/2/2015,60
1/2/2015,20
1/7/2015,20
1/7/2015,80
1/7/2015,60
1/7/2015,20
1/7/2015,280
12/22/2014,40
12/22/2014,13
12/22/2014,40
12/22/2014,40
12/22/2014,160
12/22/2014,25
12/15/2014,100
12/15/2014,40
12/15/2014,60
12/15/2014,240
12/15/2014,600
12/31/2014,40
12/31/2014,20
12/31/2014,20
12/31/2014,20
12/31/2014,60
12/31/2014,20
12/31/2014,280
1/16/2015,100
1/16/2015,20
1/16/2015,20
1/16/2015,180
1/16/2015,40
1/16/2015,340
1/14/2015,40
1/14/2015,240
1/14/2015,60
1/12/2015,180
1/12/2015,60
1/9/2015,60
1/9/2015,20
1/9/2015,20
1/9/2015,40
1/9/2015,40
1/9/2015,200
1/19/2015,40
1/19/2015,27
1/19/2015,20
1/19/2015,240
1/19/2015,20
1/23/2015,80
1/23/2015,20
1/23/2015,20
1/23/2015,320
2/11/2015,80
2/11/2015,20
2/11/2015,20
2/11/2015,40
2/11/2015,240
2/6/2015,40
2/6/2015,40
2/6/2015,240
2/9/2015,7
2/4/2015,60
2/4/2015,40
2/4/2015,20
2/4/2015,140
2/5/2015,60
2/5/2015,40
2/5/2015,320
2/6/2015,80
