Province,Location,Year,Quarter,Month,Compacted Waste,Cardboard Recycling,Mixed Recycling,Organics/Compost,Biohazardous Waste
ON,IRL,FY2006,Q2,Apr-2006,6740,3490,1000,1200,15441
ON,IRL,FY2006,Q3,May-2006,7120,3470,1250,1500,18584
ON,IRL,FY2006,Q3,Jun-2006,9650,3510,1000,1200,18692
ON,IRL,FY2006,Q3,Jul-2006,5910,3380,1000,1500,16532
ON,IRL,FY2006,Q4,Aug-2006,8990,2500,1250,1200,17230
ON,IRL,FY2006,Q4,Sep-2006,8100,2390,1000,1200,16291
ON,IRL,FY2006,Q4,Oct-2006,8980,2690,1000,1500,17221
ON,IRL,FY2007,Q1,Nov-2006,10140,3270,1250,1200,17686
ON,IRL,FY2007,Q1,Dec-2006,6620,2170,1000,1200,15302
ON,IRL,FY2007,Q1,Jan-2007,7270,1940,1250,1500,16325
ON,IRL,FY2007,Q2,Feb-2007,8310,3460,1000,1200,16653
ON,IRL,FY2007,Q2,Mar-2007,9710,3410,1000,1200,17555
ON,IRL,FY2007,Q2,Apr-2007,7730,3410,1000,1200,18148
ON,IRL,FY2007,Q3,May-2007,9780,2900,1250,1200,18259
ON,IRL,FY2007,Q3,Jun-2007,7970,3560,1000,1200,18431
ON,IRL,FY2007,Q3,Jul-2007,8000,3460,1000,1200,16483
ON,IRL,FY2007,Q4,Aug-2007,8580,2580,1250,1200,17603
ON,IRL,FY2007,Q4,Sep-2007,7420,2310,1000,2400,15983
ON,IRL,FY2007,Q4,Oct-2007,8030,2230,1250,3000,19524
ON,IRL,FY2008,Q1,Nov-2007,12050,3360,1000,2400,19510
ON,IRL,FY2008,Q1,Dec-2007,7900,2080,1000,2400,14739
ON,IRL,FY2008,Q1,Jan-2008,1150,3690,1250,600,18992
ON,IRL,FY2008,Q2,Feb-2008,7940,4460,1000,600,17819
ON,IRL,FY2008,Q2,Mar-2008,8620,2970,1000,750,17564
ON,IRL,FY2008,Q2,Apr-2008,8460,2550,1250,600,21642
ON,IRL,FY2008,Q3,May-2008,10150,2880,1000,600,20711
ON,IRL,FY2008,Q3,Jun-2008,10240,2820,1000,750,18842
ON,IRL,FY2008,Q3,Jul-2008,12290,4400,1250,600,19507
ON,IRL,FY2008,Q4,Aug-2008,9220,2330,1000,750,16826
ON,IRL,FY2008,Q4,Sep-2008,9630,2520,1300,600,17161
