Province,Location,Year,Quarter,Month,Compacted Waste,Cardboard Recycling,Mixed Recycling,Organics/Compost,Biohazardous Waste
ON,St Catharines,FY2006,Q2,Apr-2006,,,,,
ON,St Catharines,FY2006,Q3,May-2006,,,,,
ON,St Catharines,FY2006,Q3,Jun-2006,,,,,
ON,St Catharines,FY2006,Q3,Jul-2006,,,,,
ON,St Catharines,FY2006,Q4,Aug-2006,,,,,
ON,St Catharines,FY2006,Q4,Sep-2006,,,,,
ON,St Catharines,FY2006,Q4,Oct-2006,,,,,
ON,St Catharines,FY2007,Q1,Nov-2006,,,,,
ON,St Catharines,FY2007,Q1,Dec-2006,,,,,
ON,St Catharines,FY2007,Q1,Jan-2007,,,,,
ON,St Catharines,FY2007,Q2,Feb-2007,,,,,
ON,St Catharines,FY2007,Q2,Mar-2007,,,,,
ON,St Catharines,FY2007,Q2,Apr-2007,,,,,
ON,St Catharines,FY2007,Q3,May-2007,,,,,
ON,St Catharines,FY2007,Q3,Jun-2007,,,,,
ON,St Catharines,FY2007,Q3,Jul-2007,,,,,
ON,St Catharines,FY2007,Q4,Aug-2007,,,,,
ON,St Catharines,FY2007,Q4,Sep-2007,,,,,
ON,St Catharines,FY2007,Q4,Oct-2007,,,,,
ON,St Catharines,FY2008,Q1,Nov-2007,,,,,
ON,St Catharines,FY2008,Q1,Dec-2007,,,,,
ON,St Catharines,FY2008,Q1,Jan-2008,,627,709.2,,4559
ON,St Catharines,FY2008,Q2,Feb-2008,4079,502,630.4,,4455
ON,St Catharines,FY2008,Q2,Mar-2008,3626,502,630.4,,4210
ON,St Catharines,FY2008,Q2,Apr-2008,4079,502,748.6,,4686
ON,St Catharines,FY2008,Q3,May-2008,4079,627,591,,4358
ON,St Catharines,FY2008,Q3,Jun-2008,4079,502,591,,4991
ON,St Catharines,FY2008,Q3,Jul-2008,4079,502,728.9,,4301
ON,St Catharines,FY2008,Q4,Aug-2008,3626,627,630.4,,4554
ON,St Catharines,FY2008,Q4,Sep-2008,4079,502,630.4,,4820
ON,St Catharines,FY2008,Q4,Oct-2008,4079,627,748.6,,4726
ON,St Catharines,FY2009,Q1,Nov-2008,3626,502,630.4,,4384
ON,St Catharines,FY2009,Q1,Dec-2008,4532,502,768.3,,4225
ON,St Catharines,FY2009,Q1,Jan-2009,3626,502,650,,4345
ON,St Catharines,FY2009,Q2,Feb-2009,3626,670,729,,4223
ON,St Catharines,FY2009,Q2,Mar-2009,4079,670,749,,4854
ON,St Catharines,FY2009,Q2,Apr-2009,4080,670,910,,4906
ON,St Catharines,FY2009,Q3,May-2009,3630,840,703,,4854
ON,St Catharines,FY2009,Q3,Jun-2009,4080,670,630,,5163
ON,St Catharines,FY2009,Q3,Jul-2009,4080,840,910,,4727
ON,St Catharines,FY2009,Q4,Aug-2009,4080,670,790,,4516
ON,St Catharines,FY2009,Q4,Sep-2009,3630,670,910,,4798
ON,St Catharines,FY2009,Q4,Oct-2009,4080,840,630,,4803
ON,St Catharines,FY2010,Q1,Nov-2009,4530,670,650,,4631
ON,St Catharines,FY2010,Q1,Dec-2009,4080,840,990,,4124
ON,St Catharines,FY2010,Q1,Jan-2010,3630,670,790,,4347
ON,St Catharines,FY2010,Q2,Feb-2010,3630,670,670,,4244
ON,St Catharines,FY2010,Q2,Mar-2010,4080,670,990,,5189
ON,St Catharines,FY2010,Q2,Apr-2010,4080,840,790,,4576
ON,St Catharines,FY2010,Q3,May-2010,4080,670,790,,4544
ON,St Catharines,FY2010,Q3,Jun-2010,3630,670,890,,4482
ON,St Catharines,FY2010,Q3,Jul-2010,4080,840,670,,4425
ON,St Catharines,FY2010,Q4,Aug-2010,4080,670,790,,4366
ON,St Catharines,FY2010,Q4,Sep-2010,4080,670,950,,4388
ON,St Catharines,FY2010,Q4,Oct-2010,3630,840,610,,4511
ON,St Catharines,FY2011,Q1,Nov-2010,4080,670,710,,4491
ON,St Catharines,FY2011,Q1,Dec-2010,4080,840,910,,4291
ON,St Catharines,FY2011,Q1,Jan-2011,4080,670,710,,4221
