Site Address,lon,lat
"10 Kingsbridge Gardens, Mississauga , ON , L5R3K7",-79.6489106,43.6034067
"100 Holland Ct, Bradford , ON , L3Z1R8",-79.5675787,44.1127901
"100 International Blvd, Toronto , ON , M9W6J6",-79.5857157,43.6786343
"100 Pertosa Dr, Brampton , ON , L6X5E9",-79.8050389,43.680641
"1011 Dufferin St, Toronto , ON , M6H4B5",-79.4352253,43.6601668
"1015 Austin Ave, Coquitlam , BC V3K3N9",-122.8666321,49.2493491
"10166 King George Blvd, Surrey , BC V3T2W4",-122.8445426,49.1872898
"1017 Wilson Ave, Toronto , ON , M3K1Z1",-79.4779135,43.7278097
"1040 Oliver Rd, Thunder Bay , ON , P7B7A5",-89.2717909,48.421427
"10425 Kennedy Rd N, Brampton , ON , L6Z0A4",-79.7876268,43.7246117
"105-4634 Park Avenue, Terrace , BC , V8G1V7",-128.5909828,54.5186376
"105 Main St, Delhi , ON , N4B2L8",-80.4971902,42.8565687
"11 Gibb St, Oshawa , ON , L1H2J9",-78.8607954,43.8899595
"1105 Kingston Rd, Pickering , ON , L1V1B5",-79.0947048,43.8289926
"1119 Fennell Ave E, Hamilton , ON , L8T1S2",-79.8281253,43.2258825
"1160 Burrard St, Vancouver , BC V6Z2E8",-123.1283314,49.2792489
"11743 224 St, Maple Ridge , BC V2X6A4",-122.601747,49.2156418
"118 7th Ave, Hanover , ON , N4N2G9",-81.0290994,44.1418908
"1194 Lansdowne Dr, Coquitlam , BC V3E1J7",-122.8100867,49.2832281
"120-546 St Paul Street, Kamloops , BC , V2C5T1",-120.328353,50.6742202
"121 Wellington St W, Barrie , ON , L4N1N2",-79.7031877,44.3890404
"12195 Harris Rd, Pitt Meadows , BC V3Y2E9",-122.690121,49.224238
"1220 Place DOrleans Dr, Orleans , ON , K1C7K3",-75.5209692,45.4773268
"1221 Algonquin Ave, North Bay , ON , P1B4Y3",-79.4667065,46.3266335
"12267 10th Line, Stouffville , ON , L4A6B6",-79.2315459,43.9738267
"124 Barker St, London , ON , N5Y1Y1",-81.2269528,43.0076485
"1243 Islington Ave, Etobicoke , ON , M8X1Y9",-79.5234522,43.6459145
"1290 Ellesmere Rd, Scarborough , ON , M1P2X9",-79.2648647,43.7696778
"130 Cedar St, Cambridge , ON , N1S1W4",-80.3278622,43.3517487
"1333 Neilson Rd, Scarborough , ON , M1B4Y9",-79.2196657,43.8084979
"1333 Sheppard Ave E, Toronto , ON , M2J1V1",-79.3612653,43.7714087
"1338 West Broadway, Vancouver , BC V6H1H2",-123.1349921,49.2631715
"136 Davie St, Vancouver , BC V6Z2V4",-123.12088,49.2736486
"1366 Yonge Street, Toronto , ON , M4T3A7",-79.393469,43.6860418
"13745 72 Ave, Surrey , BC V3W2P2",-122.8412666,49.133965
"14 College St, Toronto , ON , M5G1K2",-79.383941,43.6614758
"1400 Ritson Rd N, Oshawa , ON , L1G2H1",-78.8703822,43.9372447
"1420 Burnhamthorpe Rd E, Mississauga , ON , L4X2Z9",-79.601469,43.622986
"1436 Royal York Rd N, Toronto , ON , M9P3A9",-79.5282434,43.685861
"1465 Salisbury Ave, Port Coquitlam , BC V3B6J3",-122.7548723,49.2725272
"15 Mountain Ave S, Stoney Creek , ON , L8G2V6",-79.7564714,43.2157359
"15252 32 Ave, Surrey , BC V3S0R7",-122.7986887,49.0607763
"15300 105 Ave, Surrey , BC V3R6A7",-122.7976209,49.192836
"15321 16 Ave, Surrey , BC V4A1R6",-122.8004535,49.0311172
"154 Civic Centre Rd, Petawawa , ON , K8H3H5",-77.256684,45.8929531
"155 Main St E, Grimsby , ON , L3M1P2",-79.5442552,43.1885827
"16 Cross St, Dundas , ON , L9H2R4",-79.9536411,43.266754
"16088 84 Ave, Surrey , BC V4N0V9",-122.776338,49.155173
"1615 Dufferin St, Toronto , ON , M6H4H4",-79.4422393,43.6765521
"1615 Dundas St E, Whitby , ON , L1N2L1",-78.911257,43.8849376
"1669 Victoria St, Prince George , BC , V2L2L5",-122.7559039,53.9090178
"167 Centre St, Shelburne , ON , L9V3R8",-80.1994291,44.0769821
"167 Hespeler Rd, Cambridge , ON , N1R3H7",-80.3196428,43.381495
"170 Queensway W, Mississauga , ON , L5B3A8",-79.6111991,43.5700265
"170 Rebecca St, Oakville , ON , L6K2X1",-79.6780563,43.4387185
"17215 Leslie St, Newmarket , ON , L3Y8E4",-79.4279952,44.0594155
"175 Galaxy Blvd, Etobicoke , ON , M9W0C9",-79.5840217,43.6787038
"1750 E 10th Ave, Vancouver , BC V5N5K4",-123.0685427,49.2611524
"18 Kensington Rd, Brampton , ON , L6T4S5",-79.717609,43.7226238
"180 Vine St S, St. Catharines , ON , L2R7P3",-79.2290158,43.1717974
"1919 Riverside Dr, Ottawa , ON , K1H1A2",-75.6687209,45.3961789
"1935 Paris St, Sudbury , ON , P3E3C6",-81.0031142,46.4531631
"1960 Appleby Line, Burlington , ON , L7L0B7",-79.789753,43.393027
"19653 Willowbrook Dr, Langley , BC V2Y1A5",-122.677077,49.1168773
"2 Champagne Dr, North York , ON , M3J0K2",-79.4722575,43.7664797
"20 Wynford Dr, North York , ON , M3C1J4",-79.3363371,43.7238096
"200 Brock St N, Whitby , ON , L1N4H5",-78.943222,43.881948
"201 Centrum Blvd, Orleans , ON , K1E3V7",-75.5122358,45.4794857
"20103 40 Ave, Langley , BC V3A2W3",-122.6667272,49.0746943
"2021 Cliff Rd, Mississauga , ON , L5A3N1",-79.5918315,43.5769828
"205 Francis St E, Fenelon Falls , ON , K0M1N0",-78.7257748,44.5313883
"2065 Finch Ave W, Toronto , ON , M3N2V7",-79.5231807,43.7558627
"20999 88 Ave, Langley , BC V1M2C9",-122.6382287,49.1627486
"21 Surrey St W, Guelph , ON , N1H3R3",-80.2465422,43.5405755
"2151 McCallum Rd, Abbotsford , BC V2S3N8",-122.2934255,49.0409925
"2185 Wilson Ave, Port Coquitlam , BC V3C6C1",-122.7771013,49.2610071
"2200 Fairview St, Burlington , ON , L7R4H9",-79.8050205,43.3410213
"221 Brant Ave, Brantford , ON , N3T3J3",-80.2760165,43.14692
"222 King St E, Bowmanville , ON , L1C1P6",-78.6768473,43.9114796
"227 Nelson's Cres, New Westminster , BC V3L0E3",-122.8923112,49.2243247
"2300 Eglinton Ave W, Mississauga , ON , L5M2V8",-79.705666,43.5591458
