ID1,ID2,Site Address,Type,City,Province,Category,Number Employees,1-Nov-14,1-Dec-14,1-Jan-15,1-Feb-15,1-Mar-15,1-Apr-15,1-May-15,1-Jun-15,1-Jul-15,1-Aug-15,1-Sep-15,1-Oct-15,1-Nov-15,1-Dec-15,1-Jan-16,1-Feb-16,1-Mar-16,1-Apr-16
7025439,7025439-6,"2151 McCallum Rd, Abbotsford , BC V2S3N8",PSC,Abbotsford,BC,BC.Bio,9,88.1,56.3,86.799,83.3995,88.7,66.4,68,85.8,60.7,62.2,90.8,63.7,65.8,85.4,67.3,63.9,82.9,78.9
7025439,7025439-31,"32475 Simon Ave, Abbotsford , BC V2T5E3",PSC,Abbotsford,BC,BC.Bio,10,63.8,44.6,73.3991,63.4997,74.4,57.5,51.3,78.4,48.2,60.7,71.5,53.7,58.4,63,59.7,59.5,67.9,60.4
7025439,7025439-19,"2825 Clearbrook Rd, Abbotsford , BC V2T6S3",PSC,Abbotsford,BC,BC.Bio,4,32.6,29.9,38.7994,31.7,32.1,26.3,31.7,53.2,29.9,20.7,24.7,27.8,23.8,38.9,33.5,7.6,55,25.6
7025439,7025439-5,"7069 Cheam Ave, Agassiz , BC V0M1A3",PSC,Agassiz,BC,BC.Bio,2,21.3,,28.0998,18.4,13.5,14.4,9.4,16.9,13.8,8.7,26.2,11.7,9.7,9.3,16.5,8.7,15.3,14.3
7027127,7027127-140,"601 Harwood Ave S, Ajax , ON , L1S2J5",PSC,Ajax,ON,CML,6,32.46,39.97,18.678,25.72,30.86,29.74,36.4,40.33,27.82,27.7,23.72,29.84,20.56,19.82,28.98,28.06,26.64,27.6
7027127,7027127-193,"300 Harwood Ave S, Ajax , ON , L1S2J1",PSC,Ajax,ON,CML,1,,,,10.56,,12.12,,,,7.02,15.18,,,,0,,,
7025439,7025439-20,"26310 Fraser Hwy, Aldergrove , BC V4W2Z7",PSC,Aldergrove,BC,BC.Bio,6,26.4,22.2,34.8996,27.9,27.6,25.6,24,42.6,23.4,4.4,47.1,28.5,28.1,36.3,22.4,32.4,22.9,24.7
7027127,7027127-195,"424 Talbot St W, Aylmer , ON , N5H1K9",PSC,Aylmer,ON,CML,2,8,16.16,5.6199,8.86,11.28,5.12,10.54,15.68,9.74,5.8,11.5,4.76,10.68,9.62,9.02,3.28,25.12,12.14
7002585,7002585-1,"121 Wellington St W, Barrie , ON , L4N1N2",PSC,Barrie,ON,LifeLabs,31,174.3799,194.7797,147.9484,173.66,196.18,227.03,169.28,211.82,196.43,169.66,176.41,216.74,198.87,207.96,181.55,170.31,240.31,198.78
7002586,7002586-3,"51 Adam St, Belleville , ON , K8N5K3",Lab,Belleville,ON,LifeLabs,81,2701.4188,2520.099,2847.9552,2595.9522,2951.37,3042.75,3165.65,3463.24,3108.94,3297.84,4255.12,4132.44,3894.87,3949.54,3568.26,3274.23,4744.31,4979.14
